remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BAR-978464;Ondansetrona, cloridrato - comprimido 4 mg;Ondansetrona, cloridrato;4 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-9767AF;Ondansetrona, cloridrato - solução injetável 2mg/mL;Ondansetrona, cloridrato;2mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-803767;Ondasetrona cloridrato 2 mg/mL 2 mL - ampola;Ondasetrona cloridrato;2 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-344251;Ondasetrona cloridrato 4 mg - comprimido;Ondasetrona cloridrato;4 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-E39676;Oseltamivir - cápsula 30 mg;Oseltamivir;30 mg;cápsula;;CAF;;oral;ativo
23/09/2026;BAR-86CA3A;Oseltamivir - cápsula 45 mg;Oseltamivir;45 mg;cápsula;;CAF;;oral;ativo
23/09/2026;BAR-14584B;Oseltamivir - cápsula 75 mg;Oseltamivir;75 mg;cápsula;;CAF;;oral;ativo
23/09/2026;BAR-A0F02F;Oxacilina sódica 500 mg - frasco/ampola;Oxacilina sódica;500 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-BAE347;Paracetamol - comprimido 500 mg;Paracetamol;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-8FFAEE;Paracetamol - solução oral gotas 200 mg/mL;Paracetamol;200 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-D17A2B;Paracetamol 200 mg/mL - 15 mL - gotas;Paracetamol;200 mg/mL;gotas;;UPA;;;ativo
23/09/2026;BAR-4E7C8D;Paracetamol 500 mg - comprimido;Paracetamol;500 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-3EEA4E;Penicilina G benzatina - pó para suspensão injetável ou suspensão pronta para uso 1.200.000 UI fr-amp.;Penicilina G benzatina;1.200.000 UI;pó para suspensão injetável;;UBS;;injetável;ativo
23/09/2026;BAR-F90C57;Penicilina G benzatina - pó para suspensão injetável ou suspensão pronta para uso 600.000 UI fr-amp.;Penicilina G benzatina;600.000 UI;pó para suspensão injetável;;UBS;;injetável;ativo
23/09/2026;BAR-C86771;Permetrina - loção 50 mg/mL (5%);Permetrina;50 mg/mL (5%);loção;;UBS;;tópica;ativo
23/09/2026;BAR-E94090;Pirazinamida - comprimido 500 mg;Pirazinamida;500 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-EC9BC4;Pirazinamida - comprimido para suspensão 150mg;Pirazinamida;150mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-D19A9A;Pirazinamida - suspensão oral 30 mg/mL;Pirazinamida;30 mg/mL;suspensão oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-33AD66;Piridoxina, cloridrato (vit. B6) - comprimido 40 mg;Piridoxina, cloridrato (vit. B6);40 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-FDE61D;Pirimetamina - comprimido 25 mg;Pirimetamina;25 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-0CF3A0;Poliestirenossulfonato de Calcio 900 mg/G - envelope;Poliestirenossulfonato de Calcio;900 mg/G;;envelope;UPA;;;ativo
23/09/2026;BAR-571433;Praziquantel - comprimido 600 mg;Praziquantel;600 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-A6EE7C;Prednisolona 1 mg/mL - solução;Prednisolona;1 mg/mL;solução;;UPA;;;ativo
23/09/2026;BAR-FF4BB9;Prednisolona, fosfato sódico - solução oral 3 mg/mL;Prednisolona, fosfato sódico;3 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-90C4E2;Prednisona - comprimido 20 mg;Prednisona;20 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-C7955D;Prednisona - comprimido 5 mg;Prednisona;5 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-87839F;Prednisona 20 mg - comprimido;Prednisona;20 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-16E6D9;Prometazina cloridrato - solução injetável 25 mg/mL;Prometazina cloridrato;25 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-CCF99A;Prometazina cloridrato 25 mg/mL - 2 mL - ampola;Prometazina cloridrato;25 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-C8540F;Prometazina, cloridrato - comprimido 25 mg;Prometazina, cloridrato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-C35B3C;Propranolol 40 mg - comprimido;Propranolol;40 mg;comprimido;;UPA;;oral;ativo
