codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
BAR-D2FD93;Manitol 20%- 250 mL - frasco;Manitol;20%;;quebra automática incerta · via de administração não inferida
BAR-50DB6C;Metilprednisolona (acetato) 500 mg - PO - frasco/ampola;Metilprednisolona (acetato);500 mg;pó;via de administração não inferida
BAR-73E6AE;Metoclopramida cloridrato 5 mg- 2 mL - ampola;Metoclopramida cloridrato;5 mg;;quebra automática incerta · via de administração não inferida
BAR-DB26EF;Metoprolol tartarato 1 mg/mL -5 mL - ampola;Metoprolol tartarato;1 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-3AF11D;Metronidazol 500 mg - 100 mL - bolsa;Metronidazol;500 mg;;quebra automática incerta · via de administração não inferida
BAR-917DC5;Midazolam maleato 5 mg/mL - 3 mL - ampola;Midazolam maleato;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-6580E6;Midazolam maleato 50 mg/mL - 10 mL - ampola;Midazolam maleato;50 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-C134F9;Morfina sulfato 10 mg/mL - 1 mL - ampola;Morfina sulfato;10 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-C8C17A;Naloxona 0,4 mg/mL AMP 1 mL - ampola;Naloxona;0,4 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-5FC583;Nitroglicerina 50 mg - 10 mL - ampola;Nitroglicerina;50 mg;;quebra automática incerta · via de administração não inferida
BAR-F9D79C;Nitroprusseto de Sódio 25 mg - 2 mL - frasco/ampola;Nitroprusseto de Sódio;25 mg;;quebra automática incerta · via de administração não inferida
BAR-19183C;Nitroprusseto de sódio 25 mg-2 mL - ampola;Nitroprusseto de sódio;25 mg;;quebra automática incerta · via de administração não inferida
BAR-007709;Norepinefrina hemitartarato 2 mg - 4 mL - ampola;Norepinefrina hemitartarato;2 mg;;quebra automática incerta · via de administração não inferida
BAR-15C623;Óleo Mineral 100%-100 mL - frasco;Óleo Mineral;100%;;quebra automática incerta · via de administração não inferida
BAR-409B68;Omeprazol 40 mg - frasco/ampola;Omeprazol;40 mg;;quebra automática incerta · via de administração não inferida
BAR-803767;Ondasetrona cloridrato 2 mg/mL 2 mL - ampola;Ondasetrona cloridrato;2 mg/mL;;quebra automática incerta · via de administração não inferida
