remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BET-25F810;Domperidona 1mg/ml - Suspensão Oral;Domperidona;1mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;BET-7F4900;Dopamina Cloridrato 5mg/ml - Solução Injetável;Dopamina Cloridrato;5mg/ml;solução injetável;;UPA, HPRB, SAMU;;injetável;ativo
23/09/2026;BET-7352DF;Doxazosina 2mg - Comprimido;Doxazosina;2mg;comprimido;;;;oral;ativo
23/09/2026;BET-9F172A;Doxiciclina 100mg - Comprimido ou Drágea;Doxiciclina;100mg;comprimido;;;;oral;ativo
23/09/2026;BET-F00670;Doxiciclina 100mg - Comprimido Solúvel;Doxiciclina;100mg;comprimido;;;;oral;ativo
23/09/2026;BET-D12764;Efedrina Sulfato 50mg/ml - Solução Injetável;Efedrina Sulfato;50mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-F9B0F4;Enalapril 10mg - Comprimido;Enalapril;10mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-59947B;Enalapril 20mg - Comprimido;Enalapril;20mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-3E9AB1;Enoxaparina Sódica 20mg/0,2ml - Solução Injetável;Enoxaparina Sódica;20mg/0,2ml;solução injetável;;HPRB, UPA;;injetável;ativo
23/09/2026;BET-B9E76C;Enoxaparina Sódica 40mg/0,4ml - Solução Injetável;Enoxaparina Sódica;40mg/0,4ml;solução injetável;;HPRB, UPA;;injetável;ativo
23/09/2026;BET-C83337;Enoxaparina Sódica 60mg/0,6ml - Solução Injetável;Enoxaparina Sódica;60mg/0,6ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-7F765D;Ertapenem Sódico 1g – IV - Pó para Solução Injetável;Ertapenem Sódico;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-AE79FF;Escetamina Cloridrato 50mg/ml - Solução Injetável;Escetamina Cloridrato;50mg/ml;solução injetável;;HPRB, SAMU, UPA;;injetável;ativo
23/09/2026;BET-7CABA5;Escopolamina Butilbrometo 10mg - Comprimido;Escopolamina Butilbrometo;10mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-7ED413;Escopolamina Butilbrometo 20mg/ml - Solução Injetável;Escopolamina Butilbrometo;20mg/ml;solução injetável;;UBS, UPA, HPRB;;injetável;ativo
23/09/2026;BET-8E33EF;Espiramicina 1,5mui - Comprimido Revestido;Espiramicina 1,5mui;;comprimido revestido;;;;oral;ativo
23/09/2026;BET-EA7659;Espironolactona 100mg - Comprimido;Espironolactona;100mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-3170FA;Espironolactona 25mg - Comprimido;Espironolactona;25mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-1A5168;Estradiol Hemi Hidratado 0,6mg/g - Gel;Estradiol Hemi Hidratado;0,6mg/g;gel;;;;tópica;ativo
23/09/2026;BET-A49906;Estradiol Valerato 2mg - Comprimido;Estradiol Valerato;2mg;comprimido;;;;oral;ativo
23/09/2026;BET-EDCB00;Estreptomicina 1g - Pó para Solução Injetável;Estreptomicina;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-A9BEF8;Etambutol 400mg - Comprimido;Etambutol;400mg;comprimido;;;;oral;ativo
23/09/2026;BET-E1650F;Etionamida 250mg - Comprimido;Etionamida;250mg;comprimido;;;;oral;ativo
