remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-DCB644;Clonazepam 2,5mg/ml - Solução Oral;Clonazepam;2,5mg/ml;solução oral;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;CON-35CF0A;Clonazepam 2mg - Comprimido;Clonazepam;2mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;CON-E915BC;Cloreto de Sódio 0,9% (9mg/ml) - Solução Nasal;Cloreto de Sódio;0,9%;solução nasal;;;;nasal;ativo
23/09/2026;CON-D59BBF;Clorpromazina Cloridrato 100mg - Comprimido;Clorpromazina Cloridrato;100mg;comprimido;;;;oral;ativo
23/09/2026;CON-2FC2F2;Clorpromazina Cloridrato 25mg - Comprimido;Clorpromazina Cloridrato;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-691B5D;Clorpromazina Cloridrato 40mg/ml - Solução Oral;Clorpromazina Cloridrato;40mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-68617B;Desloratadina 0,5mg/ml - Xarope;Desloratadina;0,5mg/ml;xarope;;;;oral;ativo
23/09/2026;CON-FB6463;Dexametasona 1mg/g - Creme;Dexametasona;1mg/g;creme;;;;tópica;ativo
23/09/2026;CON-6A97E0;Dexclorfeniramina Maleato 0,4mg/ml - Xarope;Dexclorfeniramina Maleato;0,4mg/ml;xarope;;;;oral;ativo
23/09/2026;CON-54048B;Dexclorfeniramina Maleato 2mg - Comprimido;Dexclorfeniramina Maleato;2mg;comprimido;;;;oral;ativo
23/09/2026;CON-564FC5;Diazepam 10mg - Comprimido;Diazepam;10mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;CON-603A17;Diazepam 5mg - Comprimido;Diazepam;5mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;CON-9E2750;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;;;oral;ativo
23/09/2026;CON-E569DB;Dipirona Sódica 500mg - Comprimido;Dipirona Sódica;500mg;comprimido;;;;oral;ativo
23/09/2026;CON-461ED4;Dipirona Sódica 500mg/ml - Solução Oral;Dipirona Sódica;500mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-02943D;Dispositivo Intrauterino TCu 380A;Dispositivo Intrauterino TCu 380A;;;;;;;ativo
23/09/2026;CON-5DC5FC;Doxazosina Mesilato 2mg - Comprimido;Doxazosina Mesilato;2mg;comprimido;;;;oral;ativo
23/09/2026;CON-4C9B01;Doxazosina Mesilato 4mg - Comprimido;Doxazosina Mesilato;4mg;comprimido;;;;oral;ativo
23/09/2026;CON-113E73;Enalapril Maleato 10mg - Comprimido;Enalapril Maleato;10mg;comprimido;;;;oral;ativo
23/09/2026;CON-4F1A87;Enalapril Maleato 20mg - Comprimido;Enalapril Maleato;20mg;comprimido;;;;oral;ativo
23/09/2026;CON-8EC933;Enantato de Noretisterona + Valerato de Estradiol 50+5mg/ml - Solução Injetável;Enantato de Noretisterona + Valerato de Estradiol;50+5mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;CON-504020;Eritromicina Estolato 50mg/ml - Solução Oral;Eritromicina Estolato;50mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-6B26F3;Espironolactona 25mg - Comprimido;Espironolactona;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-872020;Estriol 1mg/g - Creme Vaginal;Estriol;1mg/g;creme vaginal;;;;vaginal;ativo
