remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;VAR-3F1DC7;Nortriptilina 50mg - Cápsula;Nortriptilina;50mg;cápsula;;;;oral;ativo
23/09/2026;VAR-70F0DE;Omeprazol 20mg - Cápsula;Omeprazol;20mg;cápsula;;;;oral;ativo
23/09/2026;VAR-4D81C4;Oxcarbazepina 300mg - Comprimido;Oxcarbazepina;300mg;comprimido;;;;oral;ativo
23/09/2026;VAR-F07F71;Paracetamol 200mg/ml - Solução Oral (Gotas);Paracetamol;200mg/ml;solução oral;;;;oral;ativo
23/09/2026;VAR-191099;Paracetamol 500mg - Comprimido;Paracetamol;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-B8460D;Permetrina 50mg/ml - Loção;Permetrina;50mg/ml;loção;;;;tópica;ativo
23/09/2026;VAR-B62061;Pirimetamina 25mg - Comprimido;Pirimetamina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-F8EE08;Prednisolona 3mg/ml - Solução Oral;Prednisolona;3mg/ml;solução oral;;;;oral;ativo
23/09/2026;VAR-AF946A;Prednisona 20mg - Comprimido;Prednisona;20mg;comprimido;;;;oral;ativo
23/09/2026;VAR-074F96;Prednisona 5mg - Comprimido;Prednisona;5mg;comprimido;;;;oral;ativo
23/09/2026;VAR-E2AE04;Preservativo Masculino - Envelope;Preservativo Masculino - Envelope;;;Envelope;;;;ativo
23/09/2026;VAR-79FBAE;Prometazina 25mg - Comprimido;Prometazina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-8FF167;Prometazina 25mg/ml - Ampola;Prometazina;25mg/ml;;Ampola;;;;ativo
23/09/2026;VAR-8608AF;Quetiapina 25mg - Comprimido;Quetiapina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-8EBF66;Risperidona 2mg - Comprimido;Risperidona;2mg;comprimido;;;;oral;ativo
23/09/2026;VAR-CF0CBF;Rivaroxabana 10mg/15mg - Comprimido;Rivaroxabana;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-7F1350;Sais de Reidratação Oral - Pó para Solução Oral;Sais de Reidratação Oral;;pó para solução oral;;;;oral;ativo
23/09/2026;VAR-A04405;Salbutamol 100mcg - Aerossol;Salbutamol;100mcg;aerossol;;;;inalatória;ativo
23/09/2026;VAR-062193;Sertralina 50mg - Comprimido;Sertralina;50mg;comprimido;;;;oral;ativo
23/09/2026;VAR-BF39A4;Sinvastatina 20mg/40mg - Comprimido Revestido;Sinvastatina;20mg;comprimido revestido;;;;oral;ativo
23/09/2026;VAR-17A9CB;Soro Fisiológico 100ml - Bolsa;Soro Fisiológico;100ml;;Bolsa;;;;ativo
23/09/2026;VAR-952C7F;Sulfadiazina 500mg - Comprimido;Sulfadiazina;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-1E5DF5;Sulfadiazina de Prata 10mg/g - Creme;Sulfadiazina de Prata;10mg/g;creme;;;;tópica;ativo
23/09/2026;VAR-AC51E5;Sulfametoxazol + Trimetoprima 400mg+80mg - Comprimido;Sulfametoxazol + Trimetoprima;400mg +80mg;comprimido;;;;oral;ativo
23/09/2026;VAR-CF4FE4;Sulfametoxazol + Trimetoprima 40mg+8mg/ml - Suspensão Oral;Sulfametoxazol + Trimetoprima;40mg +8mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-0978FB;Tiamazol (Tapazol) 10mg - Comprimido;Tiamazol (Tapazol);10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-9737CA;Tiamina 300mg - Comprimido;Tiamina;300mg;comprimido;;;;oral;ativo
23/09/2026;VAR-91DBA4;Tioridazina 100mg - Comprimido;Tioridazina;100mg;comprimido;;;;oral;ativo
23/09/2026;VAR-1C0DC9;Tioridazina 25mg - Comprimido;Tioridazina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-D80D89;Tioridazina 50mg - Comprimido;Tioridazina;50mg;comprimido;;;;oral;ativo
23/09/2026;VAR-978D78;Tiras de Glicemia Capilar - Insulino Dependentes;Tiras de Glicemia Capilar - Insulino Dependentes;;;;;;;ativo
23/09/2026;VAR-E1178E;Varfarina 5mg - Comprimido;Varfarina;5mg;comprimido;;;;oral;ativo
23/09/2026;VAR-8DE779;Venlafaxina 75mg - Comprimido;Venlafaxina;75mg;comprimido;;;;oral;ativo
23/09/2026;VAR-994CCB;Verapamil 80mg - Comprimido;Verapamil;80mg;comprimido;;;;oral;ativo
23/09/2026;VAR-A8B98A;Vitamina Complexo B 500mg - Comprimido;Vitamina Complexo B;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-D9D2A0;Vitamina D 1000UI - Comprimido;Vitamina D;1000UI;comprimido;;;;oral;ativo
23/09/2026;VAR-24519D;Vitaminas e Sais Minerais - Comprimido;Vitaminas e Sais Minerais;;comprimido;;;;oral;ativo
23/09/2026;VAR-8A53FE;Ácido Acetilsalicílico 100mg - Comprimido;Ácido Acetilsalicílico;100mg;comprimido;;;;oral;ativo
23/09/2026;VAR-B187EF;Ácido Fólico 0,2mg/ml - Solução;Ácido Fólico;0,2mg/ml;solução;;;;;ativo
23/09/2026;VAR-20660A;Ácido Valpróico 250mg - Comprimido;Ácido Valpróico;250mg;comprimido;;;;oral;ativo
23/09/2026;VAR-ED16D6;Ácido Valpróico 50mg/ml - Solução Oral;Ácido Valpróico;50mg/ml;solução oral;;;;oral;ativo
