remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;ITA-CB17CE;Maleato de Timolol 0,5% - Solução Oftálmica;Maleato de Timolol;0,5%;solução oftálmica;;;;oftálmica;ativo
23/09/2026;ITA-189B47;Medroxiprogesterona Acetato + Estradiol Cipionato 25mg + 5mg - Suspensão Injetável;Medroxiprogesterona Acetato + Estradiol Cipionato;25mg + 5mg;suspensão injetável;;;;injetável;ativo
23/09/2026;ITA-35F761;Medroxiprogesterona Acetato 150mg - Injetável;Medroxiprogesterona Acetato;150mg;injetável;;;;injetável;ativo
23/09/2026;ITA-A82025;Metformina 500mg - Comprimido;Metformina;500mg;comprimido;;;;oral;ativo
23/09/2026;ITA-57CC37;Metformina 850mg - Comprimido;Metformina;850mg;comprimido;;;;oral;ativo
23/09/2026;ITA-4F626C;Metildopa 250mg - Comprimido;Metildopa;250mg;comprimido;;;;oral;ativo
23/09/2026;ITA-FFF911;Metoclopramida 10mg - Comprimido;Metoclopramida;10mg;comprimido;;;;oral;ativo
23/09/2026;ITA-50ED37;Metoclopramida 4mg/ml - Solução Oral (Gotas);Metoclopramida;4mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-EAC232;Metoclopramida 5mg/ml - Injetável (Ampola 2ml);Metoclopramida;5mg/ml;injetável;Ampola 2ml;;;injetável;ativo
23/09/2026;ITA-9455D4;Metronidazol 100mg/g (10%) - Gel Vaginal;Metronidazol;100mg/g (10%);gel;;;;tópica;ativo
23/09/2026;ITA-1A4B4D;Metronidazol 200mg/5ml - Suspensão Oral;Metronidazol;200mg/5ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-6D7738;Metronidazol 250mg - Comprimido;Metronidazol;250mg;comprimido;;;;oral;ativo
23/09/2026;ITA-B34756;Miconazol 20mg/g (2%) - Creme Vaginal;Miconazol;20mg/g (2%);creme vaginal;;;;vaginal;ativo
23/09/2026;ITA-C023B1;Miconazol 20mg/g (2%) - Loção Dermatológica;Miconazol;20mg/g (2%);loção;;;;tópica;ativo
23/09/2026;ITA-521467;Mononitrato de Isossorbida 20mg - Comprimido;Mononitrato de Isossorbida;20mg;comprimido;;;;oral;ativo
23/09/2026;ITA-A1BD93;Nistatina 100.000ui/ml - Suspensão Oral;Nistatina;100.000ui/ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-DA1203;Nitrofurantoína 100mg - Comprimido;Nitrofurantoína;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-C92623;Noretisterona 0,35mg - Comprimido;Noretisterona;0,35mg;comprimido;;;;oral;ativo
23/09/2026;ITA-BBB52D;Noretisterona Enantato + Estradiol Valerato 50mg + 5mg - Injetável;Noretisterona Enantato + Estradiol Valerato;50mg + 5mg;injetável;;;;injetável;ativo
23/09/2026;ITA-58DBDB;Nortriptilina 25mg - Cápsula;Nortriptilina;25mg;cápsula;;;;oral;ativo
23/09/2026;ITA-C6291E;Omeprazol 20mg - Cápsula;Omeprazol;20mg;cápsula;;;;oral;ativo
23/09/2026;ITA-0483C5;Ondansetrona 4mg - Comprimido Dispersível;Ondansetrona;4mg;comprimido;;;;oral;ativo
23/09/2026;ITA-95475A;Paracetamol 200mg/ml - Solução Oral (Gotas);Paracetamol;200mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-81DF4D;Paracetamol 500mg - Comprimido;Paracetamol;500mg;comprimido;;;;oral;ativo
23/09/2026;ITA-A5D8D5;Prednisolona Fosfato Sódico 3mg/ml - Xarope;Prednisolona Fosfato Sódico;3mg/ml;xarope;;;;oral;ativo
23/09/2026;ITA-F4DA3F;Prednisona 20mg - Comprimido;Prednisona;20mg;comprimido;;;;oral;ativo
23/09/2026;ITA-70A3D5;Prednisona 5mg - Comprimido;Prednisona;5mg;comprimido;;;;oral;ativo
23/09/2026;ITA-717E05;Prometazina 25mg - Comprimido;Prometazina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-85F086;Prometazina 25mg/ml - Injetável (Ampola 2ml);Prometazina;25mg/ml;injetável;Ampola 2ml;;;injetável;ativo
23/09/2026;ITA-ED472D;Propranolol 40mg - Comprimido;Propranolol;40mg;comprimido;;;;oral;ativo
