codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MAC-0B52E3;Sevoflurano 1mg/ml solução inalatória frasco 250ml (port.nº 344/98 Lista C1);Sevoflurano;1mg/ml;solução;via de administração não inferida
MAC-9F30DB;Simeticona 15ml 75mg/ml emulsão/suspensão oral frasco;Simeticona;75mg/ml;emulsão;concentração corrigida (tamanho de embalagem != concentração) · via de administração não inferida
MAC-EED605;Sorbitol 0,027 g/ml + Manitol 0,0054 g/ml solução para irrigação urológica frasco plástico sistema fechado 1000 Ml (ou 27G/1000ml + 5,4G/1000ML);Sorbitol;0,027 g/ml;solução;via de administração não inferida
MAC-DF74B9;Sorbitol 30 mg/ml solução para irrigação urológica frasco plástico sistema fechado 3000;Sorbitol;30 mg/ml;solução;via de administração não inferida
MAC-9F62CC;Sulfato De Bário Contraste copo plast.150ml (sulfato De Bário 100% Ou 1G/ML Suspensão Oral copo plástico 150ml);Sulfato De Bário Contraste copo plast.;100%;suspensão oral;concentração corrigida (tamanho de embalagem != concentração)
MAC-B43363;"Suplemento De Aminoácidos Para Regime Para Crianças (neonatos Pré- Termos E Termos E Bebês) E Crianças Jovens - Frasco de vidro com quantidades adequadas de carboidratos e gorduras como doadores de energia, vitaminas, eletrólitos e oligoelementos. São todos componentes de ocorrência fisiológica natural. Como os aminoácidos derivados da ingestão e assimilação das proteínas dos alimentos, os aminoácidos administrados por via parenteral entram na reserva do organismo de aminoácidos livres e subsequentemente em todas as reações metabólicas. Administrada exclusivamente pela via intravenosa. Pré fabricada em frasco de vidro pronta para uso. Solução de Nutrição Parenteral pré- fabricadas, pronta para o uso em sistema fechado, estéril e apirogência, contendo solução a cada 100ml com isoleucina 0,500-0,670 g; leucina 0,740-1,00 g; lisina 0,660-1,100g; metionina 0,240-0,430 g ; fenilalanina 0,420-0,510g; treonina 0,370-0,440g; triptofano 0,200 g; valina 0,620-0,760g; arginina 0,840-1,200g; histidina 0,300-0,380g ; alanina 0,800-1,40g; glicina 0,400-1,10g; prolina 0,300-1,120g; serina 0,400-0,650 g; tirosina 0,040- 0,045g; taurina 0,060-1,00g; Água para injetáveis; Concentrações variáveis até 100-250ml. A escolha da administração em veia central. O limite aceito para infusão periférica é de aproximadamente 800 mOsm/L; pH 5,5 – 6,0. Volume final 100- 250ml.";Suplemento De Aminoácidos Para Regime Para Crianças (neonatos Pré- Termos E Termos E Bebês) E Crianças Jovens - Frasco de vidro com quantidades adequadas de carboidratos e gorduras como doadores de energia, vitaminas, eletrólitos e oligoelementos. São;100ml;solução;"⚠ PRINCÍPIO ATIVO CORTADO — texto original tinha 642 caracteres (limite do sistema é 255); escolha um nome curto para este item antes de importar"
MAC-576022;Tiras Reagentes De Medida De Glicemia Capilar, lata c/50;Tiras Reagentes De Medida De Glicemia Capilar, lata c/50;;;quebra automática incerta · via de administração não inferida
MAC-5548F9;Tropicamida 5ml 10mg/ml (1% )solução oftálmica frasco;Tropicamida;10mg/ml;solução oftálmica;concentração corrigida (tamanho de embalagem != concentração)
MAC-9708EA;Tuberculina (PPD) 1,5 m;Tuberculina (PPD) 1,5 m;;;quebra automática incerta · via de administração não inferida
MAC-BF166E;Ácido Fólico 0,2mg/ml sol oral frasco 30ml;Ácido Fólico;0,2mg/ml;solução;via de administração não inferida
MAC-730EF6;Ácido Tricloroacético (TCA) 30% - solução aquosa 15ml;Ácido Tricloroacético (TCA);30%;solução;via de administração não inferida
MAC-6C1D29;Ácido Tricloroacético (TCA) 50% - solução aquosa 15ml;Ácido Tricloroacético (TCA);50%;solução;via de administração não inferida
MAC-981F5A;Ácido Tricloroacético (TCA) 70% - solução aquosa 15ml;Ácido Tricloroacético (TCA);70%;solução;via de administração não inferida
MAC-49AADE;Ácido Tricloroacético (TCA) 90% - solução aquosa 15ml;Ácido Tricloroacético (TCA);90%;solução;via de administração não inferida
MAC-1EF843;Álcool Etílico 70% solução frasco 1000ml Medicamento de Notificação Simplificada Rdc Anvisa Nº199/06 (atual.RDC107/2016) - Uso;Álcool Etílico;70%;solução;via de administração não inferida
MAC-6B3996;Óleo Mineral Puro (Petrolato líquido) frasco 100ml;Óleo Mineral Puro (Petrolato;100ml;líquido;via de administração não inferida
