codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
FRA-16AA03;Hidrocortisona Succinato de Hidrocortisona frasco-ampola 500 mg;Hidrocortisona Succinato de Hidrocortisona frasco-ampola;500 mg;;quebra automática incerta · via de administração não inferida
FRA-960FF6;Prednisolona 3 mg/1 ml frasco 60 ml;Prednisolona;3 mg/1 ml;;quebra automática incerta · via de administração não inferida
FRA-64C414;Cetoprofeno ampola 100 mg/2 ml;Cetoprofeno ampola;100 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-E03FB1;Diclofenaco ampola 75 mg/3 ml;Diclofenaco ampola;75 mg/3 ml;;quebra automática incerta · via de administração não inferida
FRA-8D2FAF;Amicacina ampola 100 mg/2 ml;Amicacina ampola;100 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-F0AEDE;Amicacina ampola 500 mg/2 ml;Amicacina ampola;500 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-63C32B;Gentamicina ampola 80 mg/2 ml;Gentamicina ampola;80 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-CA6CF6;Metronidazol frasco 500 mg/100 ml;Metronidazol frasco;500 mg/100 ml;;quebra automática incerta · via de administração não inferida
FRA-7D1F3F;Cefalotina frasco-ampola 1 g;Cefalotina frasco-ampola;1 g;;quebra automática incerta · via de administração não inferida
FRA-3CF262;Ceftriaxona IV frasco-ampola 1 g;Ceftriaxona IV frasco-ampola;1 g;;quebra automática incerta
FRA-E164EA;Clindamicina ampola 300 mg/2 ml;Clindamicina ampola;300 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-A26FDB;Claritromicina frasco-ampola 500 mg;Claritromicina frasco-ampola;500 mg;;quebra automática incerta · via de administração não inferida
FRA-B82D9B;Ampicilina frasco-ampola 1 g;Ampicilina frasco-ampola;1 g;;quebra automática incerta · via de administração não inferida
FRA-CECDC8;Ampicilina frasco-ampola 500 g;Ampicilina frasco-ampola;500 g;;quebra automática incerta · via de administração não inferida
FRA-BD46B8;Oxacilina frasco-ampola 500 mg;Oxacilina frasco-ampola;500 mg;;quebra automática incerta · via de administração não inferida
FRA-F645D8;Penicilina G Benzatina frasco-ampola 600.000 UI;Penicilina G Benzatina frasco-ampola;600.000 UI;;quebra automática incerta · via de administração não inferida
FRA-DA2AC9;Penicilina G Benzatina frasco-ampola 1.200.000 UI;Penicilina G Benzatina frasco-ampola;1.200.000 UI;;quebra automática incerta · via de administração não inferida
FRA-01A5BE;Penicilina G Potássica frasco-ampola 5.000.000 UI;Penicilina G Potássica frasco-ampola;5.000.000 UI;;quebra automática incerta · via de administração não inferida
FRA-256F71;Penicilina G Procaína + Penicilina frasco-ampola 400.000 UI (penicilina G potássica procaína 300.000 UI + penicilina G potássica 100.000 UI);Penicilina G Procaína + Penicilina frasco-ampola;400.000 UI;;quebra automática incerta · via de administração não inferida
FRA-9B9C8F;Ciprofloxacino frasco 200 mg/100 ml;Ciprofloxacino frasco;200 mg/100 ml;;quebra automática incerta · via de administração não inferida
FRA-4BC655;Sulfametoxazol + Trimetoprima suspensão pediátrica (sulfametoxazol 200 mg + trimetoprima 40 mg)/5 ml frasco 100 ml;Sulfametoxazol + Trimetoprima;200 mg;suspensão;via de administração não inferida
